row_index,sheet_number,scope,bid_item,text,text_frequency
362,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
363,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
364,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
365,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
366,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
367,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
368,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
369,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
370,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
371,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
372,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
373,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
374,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
375,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
376,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
377,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
378,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
379,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
380,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
381,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
382,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
383,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
384,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
385,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
386,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
387,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
388,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
389,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
390,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
391,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
392,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
393,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
394,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
395,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
396,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
397,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
398,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
399,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
400,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
401,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
402,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
403,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
404,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
405,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
406,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
407,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F1,16
408,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
409,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F3,16
410,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
411,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FZ,16
412,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
413,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FX,16
414,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
415,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,FV,16
416,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
417,A-005,Flooring,Furnish & Install Unspecified Floor Finish From Schedule,F2,16
550,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
551,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
552,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
553,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
554,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
555,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
556,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
557,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
558,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
559,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
560,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
561,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
562,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
563,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
564,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
565,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
566,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
567,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
568,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
569,A-101CD,Drywall,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,20
638,A-203,Masonry,Furnish & Install Brick Veneer System,BR1,17
639,A-203,Masonry,Furnish & Install Brick Veneer System,BR1,17
640,A-203,Masonry,Furnish & Install Brick Veneer System,BR1,17
641,A-203,Masonry,Furnish & Install Brick Veneer System,BR1,17
642,A-203,Masonry,Furnish & Install Brick Veneer System,BR1,17
643,A-203,Masonry,Furnish & Install Brick Veneer System,BR1,17
644,A-203,Masonry,Furnish & Install Brick Veneer System,BR1,17
645,A-203,Masonry,Furnish & Install Brick Veneer System,BR1,17
646,A-203,Masonry,Furnish & Install Brick Veneer System,BR1,17
651,A-203,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,FB1,18
652,A-203,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,FB1,18
653,A-203,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,FB1,18
654,A-203,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,FB1,18
655,A-203,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,FB1,18
656,A-203,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,FB1,18
657,A-203,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,FB1,18
658,A-203,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,FB1,18
659,A-203,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,FB1,18
660,A-203,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,FB1,18
661,A-203,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,FB1,18
662,A-203,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,FB1,18
700,A-351,Masonry,Furnish & Install Brick Veneer System,BR1,17
701,A-351,Masonry,Furnish & Install Brick Veneer System,BR1,17
704,A-351,Masonry,Furnish & Install Brick Veneer System,BR1,17
705,A-351,Masonry,Furnish & Install Brick Veneer System,FB1,18
706,A-351,Masonry,Furnish & Install Brick Veneer System,FB1,18
707,A-351,Masonry,Furnish & Install Brick Veneer System,FB1,18
708,A-351,Masonry,Furnish & Install Brick Veneer System,FB1,18
709,A-351,Masonry,Furnish & Install Brick Veneer System,BR1,17
710,A-351,Masonry,Furnish & Install Brick Veneer System,FB1,18
711,A-351,Masonry,Furnish & Install Brick Veneer System,FB1,18
993,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
994,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
995,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
996,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
997,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
998,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
999,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1001,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1002,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1003,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1004,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1005,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1006,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1007,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1008,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1009,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1010,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1011,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1012,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1013,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1014,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1015,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1016,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1017,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1018,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1019,A-425,Window Treatments,Furnish & Install Window Shades,SHADE,26
1107,A-425,Site Improvements,Furnish & Install — Bike Racks,BR1,17
1108,A-425,Site Improvements,Furnish & Install — Bike Racks,BR1,17
1110,A-425,Site Improvements,Furnish & Install — Bike Racks,BR1,17
1111,A-425,Site Improvements,Furnish & Install — Bike Racks,BR1,17
1280,CU300,Utilities,Furnish & Install General Storm Drain Pipe and Connections,> 8''SD,153
1281,CU300,Utilities,Furnish & Install General Storm Drain Pipe and Connections,> 8''SD,153
1282,CU300,Utilities,Furnish & Install General Storm Drain Pipe and Connections,> 8''SD,153
1305,CU300,Utilities,Furnish & Install 8-Inch Storm Drain Pipe,> 8''SD,153
1306,CU300,Utilities,Furnish & Install 8-Inch Storm Drain Pipe,> 8''SD,153
1307,CU300,Utilities,Furnish & Install 8-Inch Storm Drain Pipe,> 8''SD,153
1308,CU300,Utilities,Furnish & Install 8-Inch Storm Drain Pipe,> 8''SD,153
1309,CU300,Utilities,Furnish & Install 8-Inch Storm Drain Pipe,> 8''SD,153
1310,CU300,Utilities,Furnish & Install 8-Inch Storm Drain Pipe,> 8''SD,153
1311,CU300,Utilities,Furnish & Install 8-Inch Storm Drain Pipe,> 8''SD,153
1312,CU300,Utilities,Furnish & Install 8-Inch Storm Drain Pipe,> 8''SD,153
1313,CU300,Utilities,Furnish & Install 8-Inch Storm Drain Pipe,> 8''SD,153
