row_index,sheet_number,bid_item,text,ocr_hints
1131,A-602,Furnish & Install Wood Framing,HEADER PER STRUCTURAL PLANS,[]
1132,A-602,Furnish & Install Wood Framing,HEADER PER STRUCTURAL PLANS,[]
1133,A-602,Furnish & Install Wood Framing,HEADER PER STRUCTURAL PLANS,[]
1134,A-602,Furnish & Install Wood Framing,JAMB STUD PER STRUCTURAL PLANS,[]
1135,A-602,Furnish & Install Wood Framing,JAMB STUD PER STRUCTURAL PLANS,[]
1136,A-602,Furnish & Install Wood Framing,JAMB STUD PER STRUCTURAL PLANS,[]
1137,A-602,Furnish & Install Wood Framing,JAMB STUD PER STRUCTURAL PLANS,[]
1138,A-602,Furnish & Install Wood Framing,JAMB STUD PER STRUCTURAL PLANS,[]
1139,A-602,Furnish & Install Wood Framing,HEADER PER STRUCTURAL PLANS,[]
1140,A-602,Furnish & Install Wood Framing,"SILL PLATE & CRIPPLE STUDS PER WALL TYPE, SEE FLOOR PLAN FOR WALL TYPES",[]
1141,A-602,Furnish & Install Wood Framing,"SILL PLATE & CRIPPLE STUDS PER WALL TYPE, SEE FLOOR PLAN FOR WALL TYPES",[]
1142,A-602,Furnish & Install Wood Framing,"SILL PLATE & CRIPPLE STUDS PER WALL TYPE, SEE FLOOR PLAN FOR WALL TYPES",[]
1143,A-602,Furnish & Install Wood Framing,"2x WALL FRAMING, SEE FLOOR PLAN FOR ASSEMBLY TYPE.",[]
1144,A-602,Furnish & Install Wood Framing,ROOF FRAMING PER STRUCTURAL PLANS,[]
1145,A-602,Furnish & Install Wood Framing,JAMB STUD PER STRUCTURAL PLANS,[]
1146,A-602,Furnish & Install Fasteners,"HOT-DIP GALV. RING SHANK NAIL @ 12"" O.C.","[""POSSIBLE_DIMENSION""]"
1147,A-602,Furnish & Install Structural Sheathing,EXTERIOR WALL SUBSTRATE,[]
1148,A-602,"Furnish & Install Mechanically Fastened, Vapor Permeable Air And Water Barrier","MECHANICALLY FASTENED MEMBRANE AIR AND WATER BARRIER, VAPOR PERMEABLE",[]
1149,A-602,"Furnish & Install Mechanically Fastened, Vapor Permeable Air And Water Barrier","MECHANICALLY FASTENED MEMBRANE AIR AND WATER BARRIER, VAPOR PERMEABLE",[]
1150,A-602,"Furnish & Install Mechanically Fastened, Vapor Permeable Air And Water Barrier","MECHANICALLY FASTENED MEMBRANE AIR AND WATER BARRIER, VAPOR PERMEABLE",[]
1151,A-602,"Furnish & Install Mechanically Fastened, Vapor Permeable Air And Water Barrier","MECHANICALLY FASTENED MEMBRANE AIR AND WATER BARRIER, VAPOR PERMEABLE",[]
1152,A-602,"Furnish & Install Mechanically Fastened, Vapor Permeable Air And Water Barrier","MECHANICALLY FASTENED MEMBRANE AIR AND WATER BARRIER, VAPOR PERMEABLE",[]
1153,A-602,Furnish & Install Weather Resistant Barrier (WRB),WEATHER RESISTANT BARRIER (WRB),[]
1154,A-602,Furnish & Install Weather Resistant Barrier (WRB),WEATHER RESISTANT BARRIER (WRB),[]
1155,A-602,Furnish & Install Weather Resistant Barrier (WRB),WEATHER RESISTANT BARRIER (WRB),[]
1156,A-602,Furnish & Install Weather Resistant Barrier (WRB),WEATHER RESISTANT BARRIER (WRB),[]
1157,A-602,Furnish & Install Thermal Batt Insulation,R-21 BATT INSULATION,[]
1158,A-602,Furnish & Install Thermal Batt Insulation,R-21 BATT INSULATION,[]
1159,A-602,Furnish & Install Thermal Batt Insulation,R-21 BATT INSULATION,[]
1160,A-602,Furnish & Install Thermal Batt Insulation,R-21 BATT INSULATION,[]
1161,A-602,Furnish & Install Thermal Batt Insulation,R-21 BATT INSULATION,[]
1162,A-602,Furnish & Install Thermal Batt Insulation,R-21 BATT INSULATION,[]
1163,A-602,Furnish & Install Thermal Batt Insulation,R-21 BATT INSULATION,[]
1164,A-602,Furnish & Install Thermal Batt Insulation,R-21 BATT INSULATION,[]
1165,A-602,Furnish & Install Thermal Batt Insulation,R-21 BATT INSULATION,[]
1166,A-602,Furnish & Install Mineral Wool Insulation,"1-1/4"" MINERAL WOOL INSULATION","[""POSSIBLE_DIMENSION""]"
1167,A-602,Furnish & Install Mineral Wool Insulation,"1-1/4"" MINERAL WOOL INSULATION","[""POSSIBLE_DIMENSION""]"
1168,A-602,Furnish & Install Mineral Wool Insulation,"1-1/4"" MINERAL WOOL INSULATION","[""POSSIBLE_DIMENSION""]"
1169,A-602,Furnish & Install Mineral Wool Insulation,"1-1/4"" MINERAL WOOL INSULATION","[""POSSIBLE_DIMENSION""]"
1170,A-602,Furnish & Install Mineral Wool Insulation,"1-1/4"" MINERAL WOOL INSULATION","[""POSSIBLE_DIMENSION""]"
1171,A-602,Furnish & Install Mineral Wool Insulation,"1-1/4"" MINERAL WOOL INSULATION","[""POSSIBLE_DIMENSION""]"
1172,A-602,Furnish & Install Mineral Wool Insulation,"1-1/4"" MINERAL WOOL INSULATION","[""POSSIBLE_DIMENSION""]"
1173,A-602,Furnish & Install Mineral Wool Insulation,"1-1/4"" MINERAL WOOL INSULATION","[""POSSIBLE_DIMENSION""]"
1174,A-602,Furnish & Install Mineral Wool Insulation,"1-1/4"" MINERAL WOOL INSULATION","[""POSSIBLE_DIMENSION""]"
